vial,strain,treatment,sex,weight_mg
8,a3,nicotine,m,0.122
8,a3,nicotine,f,0.182
8,a3,nicotine,f,0.154
8,a3,nicotine,m,0.121
8,a3,nicotine,f,0.183
8,a3,nicotine,m,0.106
5,a4,nicotine,f,0.146
5,a4,nicotine,m,0.126
5,a4,nicotine,f,0.194
5,a4,nicotine,f,0.201
5,a4,nicotine,f,0.224
5,a4,nicotine,f,0.234
29,a4,control,f,0.237
29,a4,control,f,0.235
29,a4,control,f,0.222
29,a4,control,f,0.298
29,a4,control,f,0.242
29,a4,control,f,0.255
29,a4,control,m,0.239
29,a4,control,m,0.198
20,a3,nicotine,f,0.155
20,a3,nicotine,f,0.148
20,a3,nicotine,f,0.219
20,a3,nicotine,m,0.139
20,a3,nicotine,m,0.122
20,a3,nicotine,m,0.09
30,a3,control,f,0.232
30,a3,control,f,0.21
30,a3,control,f,0.223
30,a3,control,f,0.176
30,a3,control,f,0.255
30,a3,control,f,0.207
30,a3,control,f,0.176
30,a3,control,m,0.179
30,a3,control,m,0.164
30,a3,control,m,0.157
9,a4,nicotine,f,0.263
9,a4,nicotine,f,0.194
9,a4,nicotine,f,0.24
9,a4,nicotine,f,0.234
16,a3,nicotine,m,0.152
16,a3,nicotine,m,0.184
16,a3,nicotine,f,0.179
16,a3,nicotine,f,0.194
17,a4,nicotine,f,0.288
17,a4,nicotine,f,0.251
17,a4,nicotine,f,0.263
17,a4,nicotine,f,0.315
17,a4,nicotine,f,0.226
17,a4,nicotine,f,0.208
17,a4,nicotine,m,0.212
17,a4,nicotine,m,0.226
13,a4,nicotine,f,0.291
13,a4,nicotine,f,0.236
13,a4,nicotine,f,0.22
13,a4,nicotine,f,0.245
13,a4,nicotine,f,0.21
13,a4,nicotine,m,0.186
13,a4,nicotine,m,0.198
10,a3,nicotine,f,0.2
10,a3,nicotine,f,0.221
10,a3,nicotine,f,0.209
10,a3,nicotine,f,0.189
10,a3,nicotine,m,0.148
21,a4,control,m,0.175
21,a4,control,m,0.16
21,a4,control,m,0.151
21,a4,control,f,0.255
21,a4,control,f,0.094
21,a4,control,f,0.221
22,a3,control,f,0.402
22,a3,control,f,0.257
22,a3,control,m,0.157
32,a3,control,f,0.177
