strain,replicate,dose,alive,dead,percent
a4,R2,0,5,15,25
a4,R2,0.5,11,9,55
a4,R2,1.25,5,15,25
a4,R2,1.5,6,14,30
a4,R2,1.75,7,13,35
a4,R2,2.25,5,15,25
a4,R2,2.5,7,13,35
a4,R2,3,1,19,5
a4,R2,4,5,15,25
a4,R2,5,2,18,10
a4,R3,0,7,13,35
a4,R3,0.5,7,13,35
a4,R3,1.25,6,14,30
a4,R3,1.5,5,15,25
a4,R3,1.75,5,15,25
a4,R3,2.25,4,16,20
a4,R3,2.5,4,16,20
a4,R3,3,1,19,5
a4,R3,4,1,19,5
a4,R3,5,0,20,0
a4,R4,0,7,13,35
a4,R4,0.5,7,13,35
a4,R4,1.25,5,15,25
a4,R4,1.5,8,12,40
a4,R4,1.75,4,16,20
a4,R4,2.25,4,16,20
a4,R4,2.5,3,17,15
a4,R4,3,2,18,10
a4,R4,4,1,19,5
a4,R4,5,0,20,0
a4,R5,0,8,12,40
a4,R5,0.5,11,9,55
a4,R5,1.25,7,13,35
a4,R5,1.5,9,11,45
a4,R5,1.75,6,14,30
a4,R5,2.25,3,17,15
a4,R5,2.5,5,15,25
a4,R5,3,4,16,20
a4,R5,4,5,15,25
a4,R5,5,6,14,30
a4,R6,0,11,9,55
a4,R6,0.5,11,9,55
a4,R6,1.25,7,13,35
a4,R6,1.5,7,13,35
a4,R6,1.75,3,17,15
a4,R6,2.25,7,13,35
a4,R6,2.5,2,18,10
a4,R6,3,3,17,15
a4,R6,4,5,15,25
a4,R6,5,3,17,15
a3,R1,0,10,10,50
a3,R1,0.5,7,13,35
a3,R1,1.25,10,10,50
a3,R1,1.5,7,13,35
a3,R1,1.75,8,12,40
a3,R1,2.25,3,17,15
a3,R1,2.5,5,15,25
a3,R1,3,2,18,10
a3,R1,4,0,20,0
a3,R1,5,0,20,0
a3,R2,0,14,6,70
a3,R2,0.5,9,11,45
a3,R2,1.25,4,16,20
a3,R2,1.5,5,15,25
a3,R2,1.75,6,14,30
a3,R2,2.25,5,15,25
a3,R2,2.5,2,18,10
a3,R2,3,3,17,15
a3,R2,4,0,20,0
a3,R2,5,0,20,0
a3,R3,0,13,7,65
a3,R3,0.5,9,11,45
a3,R3,1.25,5,15,25
a3,R3,1.5,8,12,40
a3,R3,1.75,6,14,30
a3,R3,2.25,1,19,5
a3,R3,2.5,3,17,15
a3,R3,3,1,19,5
a3,R3,4,2,18,10
a3,R3,5,1,19,5
a3,R4,0,14,6,70
a3,R4,0.5,5,15,25
a3,R4,1.25,5,15,25
a3,R4,1.5,2,18,10
a3,R4,1.75,2,18,10
a3,R4,2.25,2,18,10
a3,R4,2.5,3,17,15
a3,R4,3,0,20,0
a3,R4,4,0,20,0
a3,R4,5,0,20,0
a3,R5,0,9,11,45
a3,R5,0.5,7,13,35
a3,R5,1.25,3,17,15
a3,R5,1.5,4,16,20
a3,R5,1.75,5,15,25
a3,R5,2.25,4,16,20
a3,R5,2.5,2,18,10
a3,R5,3,1,19,5
a3,R5,4,0,20,0
a3,R5,5,0,20,0
