strain,dose,parasitism_group,vial,exp_run,alive,dead,raw_survival,norm_survival,wasp_alive,wasp_dead,wasp_percent,wasp_norm
a3,0,nw,r1,2,11,5,68.75,78.57142857,NA,NA,NA,NA
a3,0,nw,r2,2,13,3,81.25,92.85714286,NA,NA,NA,NA
a3,0,nw,r3,2,14,2,87.5,100,NA,NA,NA,NA
a3,0,nw,r4,2,10,6,62.5,71.42857143,NA,NA,NA,NA
a3,0,nw,r5,2,13,3,81.25,92.85714286,NA,NA,NA,NA
a3,0,nw,r6,2,14,2,87.5,100,NA,NA,NA,NA
a3,0,nw,r7,2,11,5,68.75,78.57142857,NA,NA,NA,NA
a3,0,nw,r8,2,12,4,75,85.71428571,NA,NA,NA,NA
a3,0,nw,r9,2,10,6,62.5,71.42857143,NA,NA,NA,NA
a3,0,nw,r10,2,10,6,62.5,71.42857143,NA,NA,NA,NA
a3,1.25,nw,r1,2,3,13,18.75,21.42857143,NA,NA,NA,NA
a3,1.25,nw,r2,2,6,10,37.5,42.85714286,NA,NA,NA,NA
a3,1.25,nw,r3,2,5,11,31.25,35.71428571,NA,NA,NA,NA
a3,1.25,nw,r4,2,2,14,12.5,14.28571429,NA,NA,NA,NA
a3,1.25,nw,r5,2,6,10,37.5,42.85714286,NA,NA,NA,NA
a3,1.25,nw,r6,2,8,8,50,57.14285714,NA,NA,NA,NA
a3,1.25,nw,r7,2,6,10,37.5,42.85714286,NA,NA,NA,NA
a3,1.25,nw,r8,2,4,12,25,28.57142857,NA,NA,NA,NA
a3,1.25,nw,r9,2,5,11,31.25,35.71428571,NA,NA,NA,NA
a3,1.25,nw,r10,2,3,13,18.75,21.42857143,NA,NA,NA,NA
a3,0,w,r1,2,1,15,6.25,7.142857143,5,11,31.25,41.66666667
a3,0,w,r2,2,4,12,25,28.57142857,6,10,37.5,50
a3,0,w,r3,2,2,14,12.5,14.28571429,9,7,56.25,75
a3,0,w,r4,2,5,10,31.25,35.71428571,5,11,31.25,41.66666667
a3,0,w,r5,2,4,12,25,28.57142857,5,11,31.25,41.66666667
a3,0,w,r6,2,4,12,25,28.57142857,5,11,31.25,41.66666667
a3,0,w,r7,2,1,15,6.25,7.142857143,12,4,75,100
a3,0,w,r8,2,5,11,31.25,35.71428571,6,10,37.5,50
a3,0,w,r9,2,3,13,18.75,21.42857143,5,10,31.25,41.66666667
a3,0,w,r10,2,1,15,6.25,7.142857143,8,8,50,66.66666667
a3,1.25,w,r1,2,3,13,18.75,21.42857143,3,13,18.75,25
a3,1.25,w,r2,2,2,14,12.5,14.28571429,4,12,25,33.33333333
a3,1.25,w,r3,2,2,14,12.5,14.28571429,2,14,12.5,16.66666667
a3,1.25,w,r4,2,3,13,18.75,21.42857143,6,10,37.5,50
a3,1.25,w,r5,2,3,13,18.75,21.42857143,2,14,12.5,16.66666667
a3,1.25,w,r6,2,1,15,6.25,7.142857143,3,13,18.75,25
a3,1.25,w,r7,2,3,13,18.75,21.42857143,5,11,31.25,41.66666667
a3,1.25,w,r8,2,2,14,12.5,14.28571429,3,13,18.75,25
a3,1.25,w,r9,2,2,14,12.5,14.28571429,1,15,6.25,8.333333333
a3,1.25,w,r10,2,3,13,18.75,21.42857143,4,12,25,33.33333333
a4,0,nw,r1,1,8,11,42.10526316,88.88592603,NA,NA,NA,NA
a4,0,nw,r2,1,6,13,31.57894737,66.66444452,NA,NA,NA,NA
a4,0,nw,r3,1,9,10,47.36842105,99.99666677,NA,NA,NA,NA
a4,0,nw,r4,1,8,11,42.10526316,88.88592603,NA,NA,NA,NA
a4,0,nw,r5,1,6,13,31.57894737,66.66444452,NA,NA,NA,NA
a4,0,nw,r6,1,7,12,36.84210526,77.77518526,NA,NA,NA,NA
a4,0,nw,r7,1,6,13,31.57894737,66.66444452,NA,NA,NA,NA
a4,0,nw,r8,1,7,12,36.84210526,77.77518526,NA,NA,NA,NA
a4,0,nw,r9,1,8,11,42.10526316,88.88592603,NA,NA,NA,NA
a4,0,nw,r10,1,9,10,47.36842105,99.99666677,NA,NA,NA,NA
a4,0,nw,r1,2,7,9,43.75,63.63636364,NA,NA,NA,NA
a4,0,nw,r2,2,8,8,50,72.72727273,NA,NA,NA,NA
a4,0,nw,r3,2,7,9,43.75,63.63636364,NA,NA,NA,NA
a4,0,nw,r4,2,11,5,68.75,100,NA,NA,NA,NA
a4,0,nw,r5,2,8,8,50,72.72727273,NA,NA,NA,NA
a4,0,nw,r6,2,9,7,56.25,81.81818182,NA,NA,NA,NA
a4,0,nw,r7,2,11,5,68.75,100,NA,NA,NA,NA
a4,0,nw,r8,2,9,7,56.25,81.81818182,NA,NA,NA,NA
a4,0,nw,r9,2,10,6,62.5,90.90909091,NA,NA,NA,NA
a4,0,nw,r10,2,7,9,43.75,63.63636364,NA,NA,NA,NA
a4,1.25,nw,r1,1,4,15,21.05263158,44.44296301,NA,NA,NA,NA
a4,1.25,nw,r2,1,7,12,36.84210526,77.77518526,NA,NA,NA,NA
a4,1.25,nw,r3,1,3,16,15.78947368,33.33222225,NA,NA,NA,NA
a4,1.25,nw,r4,1,9,10,47.36842105,99.99666677,NA,NA,NA,NA
a4,1.25,nw,r5,1,5,14,26.31578947,55.55370376,NA,NA,NA,NA
a4,1.25,nw,r6,1,6,13,31.57894737,66.66444452,NA,NA,NA,NA
a4,1.25,nw,r7,1,9,10,47.36842105,99.99666677,NA,NA,NA,NA
a4,1.25,nw,r8,1,7,12,36.84210526,77.77518526,NA,NA,NA,NA
a4,1.25,nw,r9,1,5,14,26.31578947,55.55370376,NA,NA,NA,NA
a4,1.25,nw,r10,1,5,14,26.31578947,55.55370376,NA,NA,NA,NA
a4,0,w,r1,1,1,21,4.545454545,9.59563974,7,15,31.81818182,87.50875088
a4,0,w,r2,1,1,21,4.545454545,9.59563974,8,14,36.36363636,100.010001
a4,0,w,r3,1,0,22,0,0,6,16,27.27272727,75.00750074
a4,0,w,r4,1,1,21,4.545454545,9.59563974,6,16,27.27272727,75.00750074
a4,0,w,r5,1,0,22,0,0,1,21,4.545454545,12.50125012
a4,0,w,r6,1,1,21,4.545454545,9.59563974,5,17,22.72727273,62.50625063
a4,0,w,r7,1,1,21,4.545454545,9.59563974,5,17,22.72727273,62.50625063
a4,0,w,r8,1,1,21,4.545454545,9.59563974,6,16,27.27272727,75.00750074
a4,0,w,r9,1,0,22,0,0,6,16,27.27272727,75.00750074
a4,0,w,r10,1,1,21,4.545454545,9.59563974,3,19,13.63636364,37.50375039
a4,0,w,r1,2,0,16,0,0,7,9,43.75,53.84615385
a4,0,w,r2,2,1,15,6.25,9.090909091,9,7,56.25,69.23076923
a4,0,w,r3,2,0,16,0,0,9,7,56.25,69.23076923
